Date,Close,High,Low,Open,Volume
1/1/2020,190.0046844,190.4036863,189.2066808,190.4036863,4208837
1/2/2020,191.4011993,192.2789961,190.0046928,190.0844859,8402979
1/3/2020,190.3238678,192.3188769,189.924866,192.3188769,9284478
1/6/2020,187.6106567,190.1642659,187.5308515,189.5258606,7636617
1/7/2020,187.8101654,189.845065,187.2116627,188.3687655,8416741
1/8/2020,186.8924713,188.1692822,186.1343702,186.732873,7043211
1/9/2020,188.169281,188.8076864,187.5707782,188.0096827,9452653
1/10/2020,189.9248505,190.5233531,188.9672486,189.6056539,9973746
1/13/2020,190.9223785,191.9198831,190.1243749,190.3238758,12243639
1/14/2020,194.1143951,194.5532996,190.1642794,191.7203841,11843444
1/15/2020,193.4360657,193.9148727,192.3986707,193.5557735,5476729
1/16/2020,192.1193848,194.6330915,191.6006872,193.5158912,9369668
1/17/2020,191.4809723,193.1966874,191.0420678,192.1193776,7392403
1/20/2020,193.0370789,194.1143887,191.5607794,191.5607794,8020816
1/21/2020,190.2839813,192.6779924,189.9248821,192.6779924,9571070
1/22/2020,189.9647827,191.2016909,189.2066816,191.2016909,7654918
1/23/2020,189.845047,190.5233549,189.0470434,190.0046575,6120434
1/24/2020,190.0445404,190.8026535,189.1268412,189.4460377,6801874
1/27/2020,187.2116699,189.4460705,186.9722664,189.1268739,6837613
1/28/2020,184.1393738,188.2490884,183.9398728,187.3313889,14582907
1/29/2020,188.8475342,189.6455377,184.4585147,184.7378208,20469708
1/30/2020,186.7727509,189.1268591,185.9348446,189.0869565,10394149
1/31/2020,187.6505432,190.2440549,186.7727466,188.1293502,18455880
2/3/2020,165.6655731,173.0869978,163.5907586,171.5707956,79764370
2/4/2020,172.0894623,173.645579,166.9024392,168.2191523,35767812
2/5/2020,172.72789,173.5657963,168.7777743,172.6081943,21253607
2/6/2020,170.4136963,175.4810126,169.0171898,173.9648104,27388582
2/7/2020,170.2939911,172.1294021,169.7752935,170.6131999,17133407
2/10/2020,168.0196533,170.8126658,167.6206515,170.7727632,9617387
2/11/2020,169.6555786,173.1268871,169.0171733,172.7677879,29803784
2/12/2020,170.0146942,171.4112007,169.0171896,170.2939882,9928416
